event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1655,99,Bayer Leverkusen,home, 87 ,Substitution, Joel Pohjanpalo , Charles Aránguiz 
1656,99,Augsburg,away, 88 ,Substitution, Maximilian Bauer , Arne Maier 
1657,99,Augsburg,away, 88 ,Yellow card, Maximilian Bauer ,
1658,99,Augsburg,away, 94 ,Substitution, Ricardo Pepi , Elvis Rexhbeçaj 
1659,100,Borussia Dortmund,away, 33 ,Yellow card, Thomas Meunier ,
1660,100,SC Freiburg,home, 35 ,Goal, Michael Gregoritsch , Matthias Ginter 
1661,100,Borussia Dortmund,away, 45 ,Substitution, Marius Wolf , Thomas Meunier 
1662,100,Borussia Dortmund,away, 60 ,Yellow card, Jude Bellingham ,
1663,100,Borussia Dortmund,away, 64 ,Substitution, Jamie Bynoe-Gittens , Thorgan Hazard 
1664,100,Borussia Dortmund,away, 67 ,Yellow card, Nico Schlotterbeck ,
1665,100,Borussia Dortmund,away, 70 ,Substitution, Youssoufa Moukoko , Donyell Malen 
1666,100,SC Freiburg,home, 74 ,Substitution, Nils Petersen , Michael Gregoritsch 
1667,100,Borussia Dortmund,away, 76 ,Substitution, Julian Brandt , Mahmoud Dahoud 
1668,100,Borussia Dortmund,away, 77 ,Goal, Jamie Bynoe-Gittens , Youssoufa Moukoko 
1669,100,Borussia Dortmund,away, 84 ,Goal, Youssoufa Moukoko , Julian Brandt 
1670,100,SC Freiburg,home, 84 ,Substitution, Noah Weißhaupt , Vincenzo Grifo 
1671,100,SC Freiburg,home, 84 ,Substitution, Daniel-Kofi Kyereh , Ritsu Dōan 
1672,100,SC Freiburg,home, 86 ,Yellow card, Daniel-Kofi Kyereh ,
1673,100,Borussia Dortmund,away, 88 ,Goal, Marius Wolf ,
1674,101,Schalke 04,away, 11 ,Disallowed goal,Disallowed goal,
1675,101,Schalke 04,away, 35 ,Red card, Dominick Drexler ,
1676,101,1. FC Köln,home, 49 ,Goal, Luca Kilian , Jonas Hector 
1677,101,Schalke 04,away, 51 ,Yellow card, Cédric Brunner ,
1678,101,Schalke 04,away, 58 ,Substitution, Marius Bülter , Rodrigo Zalazar 
1679,101,1. FC Köln,home, 62 ,Substitution, Sargis Adamyan , Kingsley Schindler 
1680,101,1. FC Köln,home, 62 ,Goal, Florian Kainz ,
1681,101,Schalke 04,away, 76 ,Goal, Marius Bülter , Thomas Ouwejan 
1682,101,1. FC Köln,home, 76 ,Substitution, Linton Maina , Florian Kainz 
1683,101,1. FC Köln,home, 76 ,Substitution, Kristian Pedersen , Julian Chabot 
1684,101,Schalke 04,away, 77 ,Substitution, Danny Latza , Tom Krauß 
1685,101,Schalke 04,away, 77 ,Substitution, Florian Flick , Tobias Mohr 
1686,101,1. FC Köln,home, 80 ,Goal, Dejan Ljubičić , Jan Thielmann 
1687,101,1. FC Köln,home, 85 ,Substitution, Mathias Olesen , Dejan Ljubičić 
1688,101,1. FC Köln,home, 86 ,Substitution, Tim Lemperle , Florian Dietz 
1689,101,Schalke 04,away, 88 ,Substitution, Simon Terodde , Sebastian Polter 
1690,101,Schalke 04,away, 89 ,Substitution, Kerim Çalhanoğlu , Alex Král 
1691,102,RB Leipzig,away, 8 ,Goal, Christopher Nkunku , Dani Olmo 
1692,102,VfB Stuttgart,home, 31 ,Goal, Naouirou Ahamada , Sasa Kalajdzic 
1693,102,RB Leipzig,away, 59 ,Substitution, Dominik Szoboszlai , Kevin Kampl 
1694,102,VfB Stuttgart,home, 63 ,Yellow card, Silas Katompa Mvumpa ,
1695,102,VfB Stuttgart,home, 64 ,Substitution, Darko Churlinov , Sasa Kalajdzic 
1696,102,VfB Stuttgart,home, 76 ,Substitution, Clinton Mola , Tiago Tomás 
1697,102,VfB Stuttgart,home, 77 ,Substitution, Enzo Millot , Chris Führich 
1698,102,RB Leipzig,away, 81 ,Substitution, Mohamed Simakan , Hugo Novoa 
1699,102,RB Leipzig,away, 85 ,Substitution, Joško Gvardiol , Marcel Halstenberg 
